rank,title,world_gross,dom_gross,dom_perc,for_gr,for_perc,year
1129,Lara Croft Tomb Raider: The Cradle of Life,160099222,65660196,41.0,94439026,59.0,2003
1130,Johnny English Reborn,160078586,8305970,5.2,151772616,94.8,2011
1131,Alien³,159814498,55473545,34.7,104340953,65.3,1992
1132,Norbit,159814490,95673607,59.9,64140883,40.1,2007
1133,21,159808370,81159365,50.8,78649005,49.2,2008
1134,Stepmom,159710793,91137662,57.1,68573131,42.9,1998
1135,The Sound of Music,159428329,159287539,99.9,140790,0.1,1965
1136,The Jackal,159330280,54930280,34.5,104400000,65.5,1997
1137,Step Up 3D,159291809,42400223,26.6,116891586,73.4,2010
1138,Daylight,159212469,33023469,20.7,126189000,79.3,1996
1139,Happy Feet Two,159197038,64006466,40.2,95190572,59.8,2011
1140,Unforgiven,159167799,101167799,63.6,58000000,36.4,1992
1141,Johnny English Strikes Again,158972499,4412170,2.8,154560329,97.2,2018
1142,The Fast and the Furious: Tokyo Drift,158964610,62514415,39.3,96450195,60.7,2006
1143,Focus,158762963,53862963,33.9,104900000,66.1,2015
1144,Sin City,158733820,74103820,46.7,84630000,53.3,2005
1145,Goosebumps,158261424,80080379,50.6,78181045,49.4,2015
1146,Days of Thunder,157920733,82670733,52.4,75250000,47.6,1990
1147,Final Destination 5,157887643,42587643,27.0,115300000,73.0,2011
1148,RRR,157832163,14843467,9.4,142988696,90.6,2022
1149,Don't Breathe,157761002,89217875,56.6,68543127,43.4,2016
1150,Hustlers,157563598,104963598,66.6,52600000,33.4,2019
1151,Crimson Tide,157387195,91387195,58.1,66000000,41.9,1995
1152,The Matrix Resurrections,157286805,37686805,24.0,119600000,76.0,2021
1153,The Book of Eli,157107755,94835059,60.4,62272696,39.6,2010
1154,Ip Man 3,157029618,2679437,1.7,154350181,98.3,2015
1155,The Climbers,156892866,487157,0.3,156405709,99.7,2019
1156,P.S. I Love You,156846321,53706790,34.2,103139531,65.8,2007
1157,The Monuments Men,156706638,78031620,49.8,78675018,50.2,2014
1158,Mystic River,156595191,90135191,57.6,66460000,42.4,2003
1159,Under Siege,156563139,83563139,53.4,73000000,46.6,1992
1160,This Means War,156491279,54760791,35.0,101730488,65.0,2012
1161,Licence to Kill,156167015,34667015,22.2,121500000,77.8,1989
1162,The Sting,156000000,156000000,100.0,0,0.0,1973
1163,Rocky Balboa,155929020,70270943,45.1,85658077,54.9,2006
1164,Escape Room,155712077,57005601,36.6,98706476,63.4,2019
1165,Hannah Montana: The Movie,155545279,79576189,51.2,75969090,48.8,2009
1166,Monster-in-Law,155457327,82931301,53.4,72526026,46.6,2005
1167,Dreamgirls,155430335,103365956,66.5,52064379,33.5,2006
1168,The Accountant,155160045,86260045,55.6,68900000,44.4,2016
1169,Bayside Shakedown 2,155138312,0,0.0,155138312,100.0,2003
1170,Blade II,155010032,82348319,53.1,72661713,46.9,2002
1171,Maid in Manhattan,154906693,94011225,60.7,60895468,39.3,2002
1172,Cool Runnings,154856263,68856263,44.5,86000000,55.5,1993
1173,Lone Survivor,154802912,125095601,80.8,29707311,19.2,2013
1174,The Phantom of the Opera,154674241,51293931,33.2,103380310,66.8,2004
1175,Yesterday,154608717,73286650,47.4,81322067,52.6,2019
1176,Ride Along,154468902,134938200,87.4,19530702,12.6,2014
1177,Kill Bill: Vol. 2,154117157,66208183,43.0,87908974,57.0,2004
1178,The Town,154026136,92186262,59.8,61839874,40.2,2010
1179,Peter Rabbit 2: The Runaway,153901717,40501717,26.3,113400000,73.7,2021
1180,Gremlins,153898890,153642180,99.8,256710,0.2,1984
1181,Free Willy,153709806,77709806,50.6,76000000,49.4,1993
1182,Another 48 Hrs.,153518974,80818974,52.6,72700000,47.4,1990
1183,Sweeney Todd: The Demon Barber of Fleet Street,153383627,52898073,34.5,100485554,65.5,2007
1184,House of Gucci,153268899,53809574,35.1,99459325,64.9,2021
1185,Monkey King: Hero Is Back,153262397,0,0.0,153262397,100.0,2015
1186,The Devil's Advocate,152944660,60944660,39.8,92000000,60.2,1997
1187,Tower Heist,152930623,78046570,51.0,74884053,49.0,2011
1188,Duckweed,152894264,471575,0.3,152422689,99.7,2017
1189,Chocolat,152699976,71509363,46.8,81190613,53.2,2000
1190,Backdraft,152368585,77868585,51.1,74500000,48.9,1991
1191,A Time to Kill,152266007,108766007,71.4,43500000,28.6,1996
1192,Date Night,152263880,98711404,64.8,53552476,35.2,2010
1193,Vantage Point,152039882,72266306,47.5,79773576,52.5,2008
1194,Phenomenon,152036382,104636382,68.8,47400000,31.2,1996
1195,Congo,152022101,81022101,53.3,71000000,46.7,1995
1196,Surf's Up,152005713,58867694,38.7,93138019,61.3,2007
1197,Big,151927281,115227281,75.8,36700000,24.2,1988
1198,Jackass Presents: Bad Grandpa,151826547,102003019,67.2,49823528,32.8,2013
1199,47 Ronin,151783839,38362475,25.3,113421364,74.7,2013
1200,Midnight in Paris,151672318,56817045,37.5,94855273,62.5,2011
